Date,Open,High,Low,Last Close
2022-08-23,426,426,426,426
2022-08-24,429,429,429,429
2022-08-25,430,430,430,430
2022-08-26,424,424,424,424
2022-08-29,415,415,415,415
2022-08-30,410,410,410,410
2022-08-31,407,407,407,407
2022-09-01,403,405,403,405
2022-09-02,412,412,412,412
2022-09-05,408,408,408,408
2022-09-06,408,408,408,408
2022-09-07,409,409,409,409
2022-09-08,410,414,410,414
2022-09-09,416,416,416,416
2022-09-12,416,418,416,418
2022-09-13,420,420,410,410
2022-09-14,407,407,407,407
2022-09-15,405,405,405,405
2022-09-16,396,396,396,396
2022-09-19,397,398,397,398
2022-09-20,403,403,399,399
2022-09-21,404,404,404,404
2022-09-22,394,394,394,394
2022-09-23,391,391,391,391
2022-09-26,390,393,390,393
2022-09-27,393,393,393,393
2022-09-28,392,394,392,394
2022-09-29,384,384,384,384
2022-09-30,385,386,385,386
2022-10-03,395,395,379,384
2022-10-04,389,391,389,391
2022-10-05,391,391,391,391
2022-10-06,396,396,396,396
2022-10-07,387,387,387,387
2022-10-10,385,385,385,385
2022-10-11,383,383,383,383
2022-10-12,383,383,382,382
2022-10-13,382,382,382,382
2022-10-14,385,385,385,385
2022-10-17,386,386,386,386
2022-10-18,391,391,388,388
2022-10-19,391,391,391,391
2022-10-20,390,390,390,390
2022-10-21,388,388,388,388
2022-10-24,395,395,395,395
2022-10-25,398,398,398,398
2022-10-27,394,396,394,396
2022-10-28,401,401,401,401
2022-10-31,405,405,405,405
2022-11-01,410,410,403,403
2022-11-02,401,401,401,401
2022-11-03,396,396,396,396
2022-11-04,389,389,389,389
2022-11-07,386,391,386,391
2022-11-08,386,394,386,394
2022-11-09,386,391,386,391
2022-11-10,386,398,386,398
2022-11-11,395,395,395,395
2022-11-14,398,398,397,397
2022-11-15,399,399,399,399
2022-11-16,397,397,394,394
2022-11-17,386,392,386,392
2022-11-18,386,395,386,395
2022-11-21,386,386,386,386
2022-11-22,386,400,386,400
2022-11-23,402,402,402,402
2022-11-24,401,401,401,401
2022-11-25,400,400,400,400
2022-11-28,397,397,397,397
2022-11-29,394,394,394,394
2022-11-30,386,396,386,396
2022-12-01,401,401,401,401
2022-12-02,399,399,399,399
2022-12-05,405,405,396,396
2022-12-06,389,389,389,389
2022-12-07,386,387,386,387
2022-12-08,386,386,386,386
2022-12-09,386,390,386,390
2022-12-12,386,388,386,388
2022-12-13,386,393,386,393
2022-12-14,392,393,392,393
2022-12-15,386,386,379,379
2022-12-16,380,380,375,375
2022-12-19,374,374,374,374
2022-12-20,371,371,371,371
2022-12-21,374,379,374,379
2022-12-22,386,386,372,372
2022-12-23,373,373,373,373
2022-12-27,377,377,373,373
2022-12-29,373,373,373,373
2023-01-02,373,379,373,379
2023-01-03,374,374,374,374
2023-01-04,377,377,377,377
2023-01-05,376,376,374,374
2023-01-06,377,377,377,377
2023-01-09,378,380,378,380
2023-01-10,375,376,375,376
2023-01-11,379,380,379,380
2023-01-12,386,386,380,380
2023-01-13,386,386,380,380
2023-01-16,385,385,382,382
2023-01-17,386,386,383,383
2023-01-18,386,386,379,379
2023-01-19,386,386,373,373
2023-01-20,376,376,376,376
2023-01-23,380,383,380,383
2023-01-24,386,386,382,382
2023-01-25,386,386,378,378
2023-01-26,386,386,384,384
2023-01-27,386,388,386,388
2023-01-30,386,386,386,386
2023-01-31,386,386,386,386
2023-02-01,388,388,386,386
2023-02-02,386,396,386,396
2023-02-03,399,399,399,399
2023-02-06,398,398,398,398
2023-02-07,398,398,398,398
2023-02-08,401,401,398,398
2023-02-09,398,398,398,398
2023-02-10,393,395,393,395
2023-02-13,399,399,399,399
2023-02-14,399,399,397,397
2023-02-15,401,401,401,401
2023-02-16,400,400,400,400
2023-02-17,394,394,394,394
2023-02-20,395,395,395,395
2023-02-21,390,390,390,390
2023-02-22,390,390,390,390
2023-02-23,393,393,390,390
2023-02-24,393,393,389,389
2023-02-27,391,391,391,391
2023-02-28,389,389,389,389
2023-03-01,388,388,384,384
2023-03-02,386,386,386,386
2023-03-03,393,393,393,393
2023-03-06,396,396,396,396
2023-03-07,393,393,393,393
2023-03-08,392,393,392,392
2023-03-09,392,392,392,392
2023-03-10,379,382,379,382
2023-03-13,375,375,375,375
2023-03-14,380,380,380,380
2023-03-15,380,380,380,380
2023-03-16,385,385,385,385
2023-03-17,383,383,383,383
2023-03-21,384,384,384,384
